Date,SP500,DAX,Nikkei
1989-10-27,335.0600,1467.3101,35527.2891
1989-10-30,335.0700,1457.8101,35417.4414
1989-10-31,340.3600,1464.8700,35549.4414
1989-11-01,341.2000,1473.2900,35564.4297
1989-11-02,338.4800,1465.6000,35494.8594
1989-11-06,332.6100,1444.7400,35434.0000
1989-11-07,334.8100,1432.1899,35270.4609
1989-11-08,338.1500,1436.8900,35595.5898
1989-11-09,336.5700,1464.5100,35657.4219
1989-11-10,339.1000,1490.9700,35663.1992
1989-11-13,339.5500,1527.6700,35750.1211
1989-11-14,337.9900,1502.7900,35768.6406
1989-11-15,340.5400,1500.2300,35852.2305
1989-11-16,340.5800,1515.6600,35876.3398
1989-11-17,341.6100,1527.6000,35963.7383
1989-11-20,339.3500,1533.7500,35893.5781
1989-11-21,339.5900,1514.0601,36059.8711
1989-11-24,343.9700,1549.8101,36484.4688
1989-11-27,345.6100,1560.0400,36881.5312
1989-11-28,345.7700,1547.9301,36985.3008
1989-11-29,343.6000,1565.8300,37021.4609
1989-11-30,345.9900,1556.4100,37268.7891
1989-12-01,350.6300,1603.8101,37132.6797
1989-12-04,351.4100,1636.8700,37303.8711
1989-12-05,349.5800,1621.1100,37494.1719
1989-12-06,348.5500,1654.1600,37654.2891
1989-12-07,347.5900,1667.8600,37858.1094
1989-12-08,348.6900,1646.4900,37724.0586
1989-12-11,348.5600,1652.2200,37752.6719
1989-12-12,351.7300,1650.3400,37803.5312
1989-12-13,352.7500,1630.3101,38062.4219
1989-12-14,350.9300,1629.1000,38180.6992
1989-12-15,350.1400,1628.4900,38271.0391
1989-12-18,343.6900,1633.4000,38586.1797
1989-12-19,342.4600,1640.5000,38439.1016
1989-12-20,342.8400,1671.9600,38512.0000
1989-12-21,344.7800,1676.8500,38215.4805
1989-12-22,347.4200,1685.6400,38040.3711
1989-12-27,348.8100,1732.8800,38801.6289
1989-12-28,350.6700,1778.1200,38876.9414
1990-01-04,355.6700,1830.9200,38712.8789
1990-01-05,352.2000,1812.9000,38274.7617
1990-01-08,353.7900,1841.4700,38294.9609
1990-01-09,349.6200,1865.5200,37951.4609
1990-01-10,347.3100,1843.0500,37696.5117
1990-01-11,348.5300,1843.4200,38170.1289
1990-01-12,339.9300,1860.9600,37516.7695
1990-01-16,340.7500,1806.1000,36850.3594
1990-01-17,337.4000,1810.6100,36821.1406
1990-01-18,338.1900,1771.6700,36729.4609
1990-01-19,339.1500,1775.2900,36836.5391
1990-01-22,330.3800,1787.0800,37257.0117
1990-01-23,331.6100,1785.0000,37378.0195
1990-01-24,330.2600,1751.6200,36778.9805
1990-01-25,326.0800,1791.5200,36969.1094
1990-01-26,325.8000,1798.2200,36874.0703
1990-01-29,325.2000,1815.6899,37173.6992
1990-01-30,322.9800,1815.2000,37215.6719
1990-01-31,329.0800,1821.2100,37188.9492
1990-02-01,328.7900,1852.9200,37206.4219
1990-02-02,330.9200,1908.4600,37650.1484
1990-02-05,331.8500,1939.8199,37631.4102
1990-02-06,329.6600,1936.2500,37666.8281
1990-02-07,333.7500,1895.6500,37301.8711
1990-02-08,332.9600,1909.9500,37516.2383
1990-02-09,333.6200,1895.9301,37288.1406
1990-02-13,331.0200,1857.1000,37107.0312
1990-02-14,332.0100,1836.5800,37155.8906
1990-02-15,334.8900,1845.9200,37471.9883
1990-02-16,332.7200,1888.8199,37460.3203
1990-02-20,327.9900,1830.5100,36895.5195
1990-02-21,327.6700,1807.4000,35734.3281
1990-02-22,325.7000,1823.5000,35826.8398
1990-02-23,324.1500,1788.3900,34890.9688
1990-02-26,328.6700,1764.0601,33321.8711
1990-02-27,330.2600,1797.0400,33897.9492
1990-02-28,331.8900,1806.6300,34591.9883
1990-03-01,332.7400,1796.1801,33829.5781
1990-03-02,335.5400,1804.9800,34057.5586
1990-03-05,333.7400,1838.1801,33845.1992
1990-03-06,337.9300,1820.3600,33791.0781
1990-03-07,336.9500,1841.9200,33362.3398
1990-03-08,340.2700,1861.9500,33690.8906
1990-03-09,337.9300,1858.8900,33993.1211
1990-03-12,338.6700,1843.7400,33368.2305
1990-03-13,336.0000,1866.5699,32620.5703
1990-03-14,336.8700,1876.8900,32352.1309
1990-03-15,338.0700,1884.2600,32671.6406
1990-03-16,341.9100,1881.9800,32616.4395
1990-03-19,343.5300,1924.5601,31263.2402
1990-03-20,341.5700,1903.3000,30807.1895
1990-03-22,335.6900,1931.7500,29843.3398
1990-03-23,337.2200,1921.6400,30372.1602
1990-03-26,337.6300,1934.7800,31840.4902
1990-03-27,341.5000,1926.9200,31825.9609
1990-03-28,342.0000,1918.3000,31263.5703
1990-03-29,340.7900,1955.8800,31026.1602
1990-03-30,339.9400,1966.7500,29980.4492
1990-04-02,338.7000,1935.2600,28002.0703
1990-04-03,343.6400,1965.9100,28759.7207
1990-04-04,341.0900,1960.8900,28442.9395
1990-04-05,340.7300,1952.8000,28249.0605
1990-04-06,340.0800,1959.0800,29278.7793
1990-04-09,341.3700,1919.7800,30397.9297
1990-04-10,342.0700,1913.1400,29624.6797
1990-04-11,341.9200,1890.9000,29440.2793
1990-04-12,344.3400,1909.8700,29623.1992
1990-04-17,344.6800,1916.2300,28461.5996
1990-04-18,340.7200,1896.9100,29249.0605
1990-04-19,338.0900,1873.7900,29945.4102
1990-04-20,335.1200,1890.6200,29835.4395
1990-04-23,331.0500,1851.3500,29679.0703
1990-04-24,330.3600,1841.2100,29501.3809
1990-04-25,332.0300,1845.9399,29564.3594
1990-04-26,332.9200,1830.9200,29424.5801
1990-04-27,329.1100,1817.8000,29584.8008
1990-05-02,334.4800,1835.8101,30173.6406
1990-05-07,340.5300,1920.8800,30956.2695
1990-05-08,342.0100,1910.1801,30970.5801
1990-05-09,342.8600,1903.6100,30945.6094
1990-05-10,343.8200,1884.9000,30980.2598
1990-05-11,352.0000,1884.7600,31512.1406
1990-05-14,354.7500,1857.9800,32042.6504
1990-05-15,354.2800,1843.7700,31997.0391
1990-05-16,354.0000,1850.2600,31967.6191
1990-05-17,354.4700,1831.5900,32061.5996
1990-05-18,354.6400,1856.4500,32013.7207
1990-05-21,358.0000,1817.7100,31765.0508
1990-05-22,358.4300,1803.2500,31938.3008
1990-05-23,359.2900,1833.6600,32176.5098
1990-05-25,354.5800,1826.9900,32793.8789
1990-05-29,360.6500,1851.9500,32817.6719
1990-05-30,360.8600,1843.3199,32926.2617
1990-05-31,361.2300,1836.6899,33130.8008
1990-06-01,363.1600,1850.2400,32891.1211
1990-06-05,366.6400,1880.6300,32921.6211
1990-06-06,364.9600,1857.9500,32953.5000
1990-06-07,363.1500,1846.1400,33192.5000
1990-06-08,358.7100,1826.5601,32993.2891
1990-06-11,361.6300,1809.7100,32540.1797
1990-06-12,366.2500,1812.3500,32322.3105
1990-06-13,364.9000,1792.2500,32371.7695
1990-06-15,362.9100,1787.2800,32538.4004
1990-06-18,356.8800,1804.3800,32376.8008
1990-06-19,358.4700,1821.3400,32040.3809
1990-06-20,359.1000,1853.1000,32087.7598
1990-06-21,360.4700,1863.5500,32087.2695
1990-06-22,355.4300,1874.0601,31694.5703
1990-06-25,352.3100,1881.8800,31124.1895
1990-06-26,352.0600,1887.8800,31571.7695
1990-06-27,355.1400,1887.3000,32312.7500
1990-06-28,357.6300,1911.0800,32106.1895
1990-06-29,358.0200,1884.6700,31940.2402
1990-07-02,359.5400,1911.3400,32160.2305
